any,territori,codi_municipi,nom,illa,nivell,us,num_bens,valor_total_milers_eur,valor_mitja_eur
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Religioso,5.0,1652.46,330492.0
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Espectáculos,0.0,,
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Residencial,1749.0,190071.55,108674.41
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Sanidad y beneficencia,5.0,1657.55,331510.0
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Otros usos,,,
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,TOTAL USOS,15824.0,1773114.0,112052.2
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Almacén y estacionamiento,3662.0,41542.3,11344.16
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Comercial,511.0,55951.92,109494.95
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Cultural,13.0,18596.57,1430505.38
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Ocio y hostelería,54.0,125512.46,2324304.81
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Industrial,181.0,11081.63,61224.48
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Deportivo,530.0,32924.78,62122.23
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Suelo vacante,1258.0,110035.06,87468.25
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Oficinas,45.0,29106.9,646820.0
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Edificio singular,4.0,1648.35,412087.5
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Religioso,3.0,,
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Espectáculos,1.0,,
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Residencial,9556.0,1342770.48,140515.96
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Sanidad y beneficencia,6.0,3010.12,501686.67
2025,07005 Andratx,07005,Andratx,MALLORCA,Municipi,Otros usos,,,
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,TOTAL USOS,8178.0,902461.21,110352.31
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Almacén y estacionamiento,953.0,14430.0,15141.66
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Comercial,201.0,20564.56,102311.24
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Cultural,10.0,13410.84,1341084.0
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Ocio y hostelería,66.0,29824.58,451887.58
