code,parent,urn,name#ca,name#es,name#en,description#ca,description#es,description#en
20030101_07026_D04_S019,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S019,"Districte D04, Secció S019 - Eivissa","Distrito D04, Sección S019 - Eivissa","District D04, Section S019 - Eivissa",,,
20030101_07026_D04_S020,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S020,"Districte D04, Secció S020 - Eivissa","Distrito D04, Sección S020 - Eivissa","District D04, Section S020 - Eivissa",,,
20030101_07026_D04_S021,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S021,"Districte D04, Secció S021 - Eivissa","Distrito D04, Sección S021 - Eivissa","District D04, Section S021 - Eivissa",,,
20030101_07026_D04_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_O,Resta de Districte D04 - Eivissa,Resto de Distrito D04 - Eivissa,Rest of District D04 - Eivissa,,,
07026_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07026,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07026_O,Resta d'Eivissa,Resto de Eivissa,Rest of Ibiza,,,
07046,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES531_072,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07046,Sant Antoni de Portmany,Sant Antoni de Portmany,Sant Antoni de Portmany,,,
20030101_07046_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07046,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01,Districte D01 - Sant Antoni de Portmany,Distrito D01 - Sant Antoni de Portmany,District D01 - Sant Antoni de Portmany,,,
20030101_07046_D01_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01_S001,"Districte D01, Secció S001 - Sant Antoni de Portmany","Distrito D01, Sección S001 - Sant Antoni de Portmany","District D01, Section S001 - Sant Antoni de Portmany",,,
20030101_07046_D01_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01_S002,"Districte D01, Secció S002 - Sant Antoni de Portmany","Distrito D01, Sección S002 - Sant Antoni de Portmany","District D01, Section S002 - Sant Antoni de Portmany",,,
20030101_07046_D01_S003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01_S003,"Districte D01, Secció S003 - Sant Antoni de Portmany","Distrito D01, Sección S003 - Sant Antoni de Portmany","District D01, Section S003 - Sant Antoni de Portmany",,,
20030101_07046_D01_S004,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01_S004,"Districte D01, Secció S004 - Sant Antoni de Portmany","Distrito D01, Sección S004 - Sant Antoni de Portmany","District D01, Section S004 - Sant Antoni de Portmany",,,
20030101_07046_D01_S005,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01_S005,"Districte D01, Secció S005 - Sant Antoni de Portmany","Distrito D01, Sección S005 - Sant Antoni de Portmany","District D01, Section S005 - Sant Antoni de Portmany",,,
20030101_07046_D01_S006,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01_S006,"Districte D01, Secció S006 - Sant Antoni de Portmany","Distrito D01, Sección S006 - Sant Antoni de Portmany","District D01, Section S006 - Sant Antoni de Portmany",,,
20030101_07046_D01_S007,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01_S007,"Districte D01, Secció S007 - Sant Antoni de Portmany","Distrito D01, Sección S007 - Sant Antoni de Portmany","District D01, Section S007 - Sant Antoni de Portmany",,,
20030101_07046_D01_S008,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01_S008,"Districte D01, Secció S008 - Sant Antoni de Portmany","Distrito D01, Sección S008 - Sant Antoni de Portmany","District D01, Section S008 - Sant Antoni de Portmany",,,
20030101_07046_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D01_O,Resta de Districte D01 - Sant Antoni de Portmany,Resto de Distrito D01 - Sant Antoni de Portmany,Rest of District D01 - Sant Antoni de Portmany,,,
20030101_07046_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07046,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D02,Districte D02 - Sant Antoni de Portmany,Distrito D02 - Sant Antoni de Portmany,District D02 - Sant Antoni de Portmany,,,
20030101_07046_D02_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07046_D02_S001,"Districte D02, Secció S001 - Sant Antoni de Portmany","Distrito D02, Sección S001 - Sant Antoni de Portmany","District D02, Section S001 - Sant Antoni de Portmany",,,
