TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca
Santanyí,Santanyí,07057,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,73.74,Valor provisional,Valor provisional,P,,,,
Sóller,Sóller,07061,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,82.95,Valor provisional,Valor provisional,P,,,,
Sóller,Sóller,07061,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,87.23,Valor provisional,Valor provisional,P,,,,
Sóller,Sóller,07061,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,84.92,Valor provisional,Valor provisional,P,,,,
Son Servera,Son Servera,07062,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,76.66,Valor provisional,Valor provisional,P,,,,
Son Servera,Son Servera,07062,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,84.65,Valor provisional,Valor provisional,P,,,,
Son Servera,Son Servera,07062,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,77.85,Valor provisional,Valor provisional,P,,,,
Alaior,Alaior,07002,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,71.06,Valor provisional,Valor provisional,P,,,,
Alaior,Alaior,07002,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,74.59,Valor provisional,Valor provisional,P,,,,
Alaior,Alaior,07002,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,69.86,Valor provisional,Valor provisional,P,,,,
Ciutadella de Menorca,Ciutadella de Menorca,07015,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,75.16,Valor provisional,Valor provisional,P,,,,
Ciutadella de Menorca,Ciutadella de Menorca,07015,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,80.97,Valor provisional,Valor provisional,P,,,,
Ciutadella de Menorca,Ciutadella de Menorca,07015,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,75.66,Valor provisional,Valor provisional,P,,,,
Maó,Maó,07032,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,58.15,Valor provisional,Valor provisional,P,,,,
Maó,Maó,07032,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,75.15,Valor provisional,Valor provisional,P,,,,
Maó,Maó,07032,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,67.31,Valor provisional,Valor provisional,P,,,,
Sant Lluís,Sant Lluís,07052,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,64.81,Valor provisional,Valor provisional,P,,,,
Sant Lluís,Sant Lluís,07052,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,76.53,Valor provisional,Valor provisional,P,,,,
Sant Lluís,Sant Lluís,07052,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,61.51,Valor provisional,Valor provisional,P,,,,
Eivissa,Eivissa,07026,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,70.60,Valor provisional,Valor provisional,P,,,,
Eivissa,Eivissa,07026,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,78.47,Valor provisional,Valor provisional,P,,,,
Eivissa,Eivissa,07026,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,76.77,Valor provisional,Valor provisional,P,,,,
Sant Antoni de Portmany,Sant Antoni de Portmany,07046,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,72.59,Valor provisional,Valor provisional,P,,,,
Sant Antoni de Portmany,Sant Antoni de Portmany,07046,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,76.07,Valor provisional,Valor provisional,P,,,,
Sant Antoni de Portmany,Sant Antoni de Portmany,07046,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,76.02,Valor provisional,Valor provisional,P,,,,
Sant Joan de Labritja,Sant Joan de Labritja,07050,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,71.49,Valor provisional,Valor provisional,P,,,,
Sant Joan de Labritja,Sant Joan de Labritja,07050,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,74.65,Valor provisional,Valor provisional,P,,,,
Sant Joan de Labritja,Sant Joan de Labritja,07050,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,74.67,Valor provisional,Valor provisional,P,,,,
Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,75.53,Valor provisional,Valor provisional,P,,,,
Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,79.39,Valor provisional,Valor provisional,P,,,,
Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,76.38,Valor provisional,Valor provisional,P,,,,
Santa Eulària des Riu,Santa Eulària des Riu,07054,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,75.02,Valor provisional,Valor provisional,P,,,,
Santa Eulària des Riu,Santa Eulària des Riu,07054,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,77.85,Valor provisional,Valor provisional,P,,,,
Santa Eulària des Riu,Santa Eulària des Riu,07054,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,75.14,Valor provisional,Valor provisional,P,,,,
Formentera,Formentera,07024,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,68.30,Valor provisional,Valor provisional,P,,,,
Formentera,Formentera,07024,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,70.29,Valor provisional,Valor provisional,P,,,,
Formentera,Formentera,07024,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,72.40,Valor provisional,Valor provisional,P,,,,
Alcúdia,Alcúdia,07003,12/2025,12/2025,2025-M12,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Alcúdia,Alcúdia,07003,12/2025,12/2025,2025-M12,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Alcúdia,Alcúdia,07003,12/2025,12/2025,2025-M12,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Andratx,Andratx,07005,12/2025,12/2025,2025-M12,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Andratx,Andratx,07005,12/2025,12/2025,2025-M12,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Andratx,Andratx,07005,12/2025,12/2025,2025-M12,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Calvià,Calvià,07011,12/2025,12/2025,2025-M12,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,26.17,Valor provisional,Valor provisional,P,,,,
Calvià,Calvià,07011,12/2025,12/2025,2025-M12,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,36.99,Valor provisional,Valor provisional,P,,,,
Calvià,Calvià,07011,12/2025,12/2025,2025-M12,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,32.62,Valor provisional,Valor provisional,P,,,,
Capdepera,Capdepera,07014,12/2025,12/2025,2025-M12,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Capdepera,Capdepera,07014,12/2025,12/2025,2025-M12,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Capdepera,Capdepera,07014,12/2025,12/2025,2025-M12,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Felanitx,Felanitx,07022,12/2025,12/2025,2025-M12,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Felanitx,Felanitx,07022,12/2025,12/2025,2025-M12,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
